Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T7-VLM2+Drag, , 
           -1,     0.1853067, ,            -1,     0.1855927, ,            -1,     0.1703557, ,            -1,     0.2009457, ,            -1,     0.2044796, ,            -1,     0.1552499, ,          -1.5,    0.09289205, ,            -2,  -0.009873512, ,            -1,     0.1724716, ,            -1,     0.1663917, ,            -1,     0.1606006, ,       6.78575,   -0.00356594, , 
         -0.5,      0.172789, ,          -0.5,     0.1735431, ,          -0.5,     0.1584443, ,          -0.5,     0.1887545, ,          -0.5,     0.2040718, ,          -0.5,     0.1434526, ,            -1,    0.08145481, ,          -1.5,    -0.0209106, ,          -0.5,     0.1609166, ,          -0.5,       0.15506, ,          -0.5,     0.1494791, ,       6.78575,   -0.00356594, , 
            0,     0.1604061, ,             0,     0.1616216, ,             0,     0.1466256, ,             0,     0.1767241, ,             0,     0.1919239, ,             0,      0.131734, ,          -0.5,    0.07008462, ,            -1,   -0.03190303, ,             0,     0.1494554, ,             0,     0.1438112, ,             0,     0.1384333, ,       6.78575,   -0.00356594, , 
          0.5,     0.1480864, ,           0.5,     0.1497686, ,           0.5,     0.1348706, ,           0.5,     0.1647688, ,           0.5,     0.1798658, ,           0.5,     0.1200676, ,             0,    0.05874271, ,          -0.5,   -0.04285409, ,           0.5,     0.1380616, ,           0.5,     0.1326307, ,           0.5,     0.1274544, ,       6.78575,   -0.00356594, , 
            1,     0.1358425, ,             1,      0.137991, ,             1,     0.1231835, ,             1,     0.1528932, ,             1,     0.1678932, ,             1,     0.1084574, ,           0.5,    0.04744412, ,             0,   -0.05378076, ,             1,     0.1267402, ,             1,     0.1215192, ,             1,     0.1165435, ,       6.78575,   -0.00356594, , 
          1.5,     0.1236559, ,           1.5,     0.1262702, ,           1.5,     0.1115378, ,           1.5,      0.141079, ,           1.5,      0.155978, ,           1.5,    0.09688419, ,             1,    0.03619799, ,           0.5,   -0.06463571, ,           1.5,     0.1154672, ,           1.5,     0.1104528, ,           1.5,     0.1056737, ,       6.78575,   -0.00356594, , 
            2,     0.1115092, ,             2,     0.1145812, ,             2,    0.09991959, ,             2,      0.129312, ,             2,     0.1441166, ,             2,    0.08534041, ,           1.5,      0.024985, ,             1,   -0.07542088, ,             2,     0.1042218, ,             2,    0.09941283, ,             2,    0.09482893, ,       6.78575,   -0.00356594, , 
          2.5,    0.09939158, ,           2.5,     0.1029196, ,           2.5,    0.08833221, ,           2.5,     0.1175808, ,           2.5,     0.1323038, ,           2.5,    0.07383007, ,             2,    0.01380331, ,           1.5,   -0.08614014, ,           2.5,     0.0930021, ,           2.5,    0.08839697, ,           2.5,    0.08400349, ,       6.78575,   -0.00356594, , 
            3,    0.08730714, ,             3,    0.09128824, ,             3,    0.07677603, ,             3,     0.1058797, ,             3,     0.1205312, ,             3,    0.06234706, ,           2.5,   0.002656054, ,             2,   -0.09679244, ,             3,    0.08179427, ,             3,    0.07738075, ,             3,    0.07317033, ,       6.78575,   -0.00356594, , 
          3.5,    0.07525889, ,           3.5,    0.07966537, ,           3.5,    0.06522729, ,           3.5,    0.09418427, ,           3.5,     0.1087733, ,           3.5,    0.05087668, ,             3,  -0.008478556, ,           2.5,    -0.1073996, ,           3.5,    0.07059565, ,           3.5,     0.0663893, ,           3.5,      0.062387, ,       6.78575,   -0.00356594, , 
            4,    0.06322943, ,             4,    0.06809173, ,             4,    0.05374563, ,             4,    0.08252276, ,             4,    0.09703174, ,             4,    0.03948648, ,           3.5,   -0.01956889, ,             3,    -0.1179277, ,             4,    0.05953535, ,             4,    0.05556075, ,             4,    0.05176746, ,       6.78575,   -0.00356594, , 
          4.5,    0.05127262, ,           4.5,     0.0566644, ,           4.5,    0.04240579, ,           4.5,    0.07100535, ,           4.5,    0.08542498, ,           4.5,    0.02822981, ,             4,   -0.03049599, ,           3.5,    -0.1283289, ,           4.5,    0.04852551, ,           4.5,    0.04473408, ,           4.5,    0.04111649, ,       6.78575,   -0.00356594, , 
            5,    0.03943439, ,             5,    0.04525221, ,             5,    0.03106853, ,             5,    0.05951371, ,             5,    0.07385887, ,             5,    0.01696798, ,           4.5,   -0.04135423, ,             4,    -0.1385397, ,             5,    0.03751521, ,             5,    0.03390913, ,             5,    0.03046438, ,       6.78575,   -0.00356594, , 
          5.5,    0.02761491, ,           5.5,    0.03385181, ,           5.5,    0.01974743, ,           5.5,    0.04803487, ,           5.5,    0.06229469, ,           5.5,   0.005725605, ,             5,   -0.05218835, ,           4.5,    -0.1487437, ,           5.5,    0.02650583, ,           5.5,    0.02308115, ,           5.5,    0.01980669, , , , , 
            6,    0.01582474, ,             6,     0.0224591, ,             6,   0.008434824, ,             6,    0.03656274, ,             6,    0.05074499, ,             6,  -0.005505432, ,           5.5,   -0.06298413, ,             5,    -0.1588928, ,             6,    0.01550054, ,             6,    0.01226357, ,             6,   0.009182812, , , , , 
          6.5,   0.004058682, ,           6.5,    0.01107581, ,           6.5,  -0.002864501, ,           6.5,     0.0250987, ,           6.5,    0.03920152, ,           6.5,   -0.01671195, ,             6,    -0.0737377, ,           5.5,    -0.1689936, ,           6.5,   0.004539344, ,           6.5,   0.001509087, ,           6.5,  -0.001373218, , , , , 
            7,  -0.007679027, ,             7, -0.0002543897, ,             7,   -0.01409508, ,             7,    0.01367494, ,             7,    0.02768669, ,             7,   -0.02783817, ,           6.5,   -0.08441241, ,             6,    -0.1790072, ,             7,  -0.006345173, ,             7,  -0.009169974, ,             7,   -0.01186634, , , , , 
          7.5,   -0.01937635, ,           7.5,   -0.01150004, ,           7.5,   -0.02523382, ,           7.5,    0.00233031, ,           7.5,    0.01624915, ,           7.5,   -0.03886437, ,             7,   -0.09497913, ,           6.5,    -0.1889146, ,           7.5,   -0.01715618, ,           7.5,   -0.01978986, ,           7.5,   -0.02230325, , , , , 
            8,   -0.03098657, ,             8,   -0.02265768, ,             8,   -0.03628352, ,             8,  -0.008930901, ,             8,   0.004890732, ,             8,   -0.04980009, ,           7.5,    -0.1054387, ,             7,    -0.1987206, ,             8,   -0.02790211, ,             8,   -0.03034716, ,             8,   -0.03268009, , , , , 
          8.5,   -0.04249983, ,           8.5,   -0.03374121, ,           8.5,   -0.04725059, ,           8.5,   -0.02012379, ,           8.5,  -0.006406083, ,           8.5,   -0.06065049, ,             8,    -0.1158045, ,           7.5,    -0.2084349, ,           8.5,   -0.03857941, ,           8.5,   -0.04083412, ,           8.5,   -0.04298953, , , , , 
            9,   -0.05391697, ,             9,   -0.04474435, ,             9,   -0.05813591, ,             9,    -0.0312426, ,             9,   -0.01763457, ,             9,   -0.07141431, ,           8.5,     -0.126073, ,             8,    -0.2180564, ,             9,   -0.04917716, ,             9,   -0.05124698, ,             9,   -0.05322242, , , , , 
          9.5,   -0.06524334, ,           9.5,   -0.05565943, ,           9.5,   -0.06892734, ,           9.5,   -0.04228005, ,           9.5,   -0.02878866, ,           9.5,   -0.08208547, ,             9,    -0.1362322, ,           8.5,    -0.2275799, ,           9.5,   -0.05969432, ,           9.5,   -0.06157665, ,           9.5,   -0.06337429, , , , , 
           10,   -0.07647477, ,            10,   -0.06648601, ,            10,   -0.07963051, ,            10,   -0.05322964, ,            10,   -0.03986205, ,            10,   -0.09266156, ,           9.5,    -0.1462895, ,             9,    -0.2370054, ,            10,   -0.07012003, ,            10,   -0.07181802, ,            10,   -0.07344043, , , , , 
         10.5,   -0.08760668, ,          10.5,    -0.0772148, ,          10.5,   -0.09023047, ,          10.5,   -0.06408758, ,          10.5,     -0.050845, ,          10.5,     -0.103138, ,            10,    -0.1562435, ,           9.5,    -0.2463266, ,          10.5,   -0.08045433, ,          10.5,   -0.08197007, ,          10.5,   -0.08341857, , , , , 
           11,   -0.09863644, ,            11,   -0.08784252, ,            11,    -0.1007299, ,            11,    -0.0748423, ,            11,   -0.06173086, ,            11,    -0.1135056, ,          10.5,    -0.1661004, ,            10,    -0.2555411, ,            11,   -0.09069195, ,            11,   -0.09202649, ,            11,     -0.093304, , , , , 
         11.5,    -0.1095584, ,          11.5,   -0.09836478, ,          11.5,    -0.1111214, ,          11.5,   -0.08549836, ,          11.5,   -0.07251655, ,          11.5,    -0.1237654, ,            11,    -0.1758631, ,          10.5,    -0.2646474, ,          11.5,    -0.1008288, ,          11.5,    -0.1019862, ,          11.5,    -0.1030931, , , , , 
           12,    -0.1203684, ,            12,    -0.1087809, ,            12,    -0.1213992, ,            12,   -0.09604399, ,            12,   -0.08319747, ,            12,    -0.1339069, ,          11.5,    -0.1855274, ,            11,    -0.2736422, ,            12,    -0.1108591, ,            12,    -0.1118275, ,            12,    -0.1127501, , , , , 
         12.5,     -0.131031, ,          12.5,    -0.1190272, ,          12.5,     -0.131512, ,          12.5,    -0.1064339, ,          12.5,   -0.09372465, ,          12.5,    -0.1438608, ,            12,    -0.1950881, ,          11.5,    -0.2825241, ,          12.5,     -0.120669, ,          12.5,    -0.1214425, ,          12.5,    -0.1221893, , , , , 
           13,    -0.1410968, ,            13,    -0.1283328, ,            13,     -0.140664, ,            13,    -0.1158744, ,            13,    -0.1036663, ,            13,    -0.1528871, ,          12.5,    -0.2044781, ,            12,    -0.2912891, ,            13,    -0.1282138, ,            13,    -0.1284062, ,            13,    -0.1288739, , , , , 
, , , , , , , , , , , , , , , , , ,            13,    -0.2126143, ,          12.5,    -0.2998635, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , ,            13,    -0.3069129, , , , , , , , , , , , , , 

